"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,";"buzzardLabel";7;"";;;
2;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
3;"R3";"0603R";1;"330R";;;
4;"U1";"PC357_OPTO";1;"PC357_OPTO";;;
5;"G***";"Symbol-Front-Relay";1;"LOGO";;;
6;"H1,H2,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
8;"R1";"0603R";1;"100R";;;
9;"D2";"M4_DIODA";1;"M4_DIODA";;;
10;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"R4";"0603R";1;"10R";;;
13;"K2";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
14;"R2";"0402R";1;"1k";;;
15;"K1";"SRD_RELAY_5V";1;"SRD_RELAY_5V";;;
16;"D1";"0402LED";1;"purple";;;
17;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
18;"Q1";"SOT-23-3";1;"NPN-SOT-23-3";;;
19;"K3";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
