"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,";"buzzardLabel";11;"";;;
2;"R3";"0603R";1;"330R";;;
3;"U1";"PC357_OPTO";1;"PC357_OPTO";;;
4;"R5,R2";"0402R";2;"2k2";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"G***";"Symbol-Front-Relay";1;"LOGO";;;
7;"H1,H2,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
8;"JP1,JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"R1";"0603R";1;"100R";;;
10;"D2";"M4_DIODA";1;"M4_DIODA";;;
11;"D3";"0402LED";1;"purple";;;
12;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
13;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
14;"R4";"0603R";1;"10R";;;
15;"K2";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
16;"K1";"SRD_RELAY_5V";1;"SRD_RELAY_5V";;;
17;"D1";"0402LED";1;"blue";;;
18;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
19;"Q1";"SOT-23-3";1;"NPN-SOT-23-3";;;
20;"K3";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
21;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
